Name,Address,phone_number,Contact,email,zip,contacted,geometry,dist_label,closed,mou_sign_date,lon,lat
Excel Academy,"1257 W 111th St, Chicago, IL 60643",773-629-8379,Ashanti Brooks,abrooks@cameloteducation.org,60643,TRUE,"c(-87.6543366, 41.6919111)",22ND,FALSE,07/10/2019,-87.65433660000001,41.6919111
CATHOLIC CHARITIES-Cook County-Chicago,"721 N. LaSalle Street Chicago, IL 60654",312-655-7700,Adela Carlin,acarlin@catholiccharities.net,60654,TRUE,"c(-87.6323269, 41.8952047)",18TH,FALSE,07/10/2019,-87.6323269,41.8952047
BUILD Chicago,"5100 W Harrison St, Chicago, IL 60644",773-227-2880,"Adam M Alonso, CEO",adamalonso@buildchicago.org,60644,TRUE,"c(-87.7536137, 41.8732116)",15TH,FALSE,07/10/2019,-87.7536137,41.8732116
Chicago Area Project-Major Adams Community Committee,"125 N Hoyne Ave, Chicago, IL 60612",312-421-6903,Patricia Butler,annbutler1963@yahoo.com,60612,TRUE,"c(-87.6786448, 41.8838221)",12TH,FALSE,07/10/2019,-87.6786448,41.8838221
NATIONAL YOUTH ADVOCATE PROGRAM (CANEI),"1902 W Cermak Rd. Chicago, IL 60608",708-747-2655,Anthony Poole,apoole@nyap.org,60608,TRUE,"c(-87.673715, 41.8523921)",12TH,FALSE,07/10/2019,-87.673715,41.8523921
"ALTERNATIVES, INC","4730 N Sheridan Rd, Chicago, IL 60640",773-506-7474,"Bessie Alcantara, Executive Dir",balcantara@alternativesyouth.org,60640,TRUE,"c(-87.6549943, 41.9681733)",19TH,FALSE,07/10/2019,-87.6549943,41.9681733
"ALTERNATIVES, INC.",241 E. 57th St. Chicago IL 60637,773-506-7475,"Bessie Alcantara, Executive Dir",balcantara@alternativesyouth.org,60637,TRUE,"c(-87.6192836, 41.7910838)",2ND,FALSE,07/10/2019,-87.6192836,41.7910838
METROPOLITAN FAMILY SERVICES,"3062 East 91st Street Chicago, Illinois 60617",773-371-2900,Christian Brown,brownc@metrofamily.org,60617,TRUE,"c(-87.5488951, 41.7302786)",4TH,FALSE,07/10/2019,-87.5488951,41.7302786
People for Community Recovery,"13330 S Corliss Ave, Chicago, IL 60827",773-840-4618,Cheryl Johnson,cheryl.johnson@pcrchi.org,60827,TRUE,"c(-87.6028153, 41.6539191)",5TH,FALSE,07/10/2019,-87.60281529999999,41.6539191
CENTER FOR CONFLICT RESOLUTION,"11 E Adams St, Chicago, IL 60603",312-922-6464,"Cassandra Lively, PhD, Executive Director",clively@ccrchicago.org,60603,TRUE,"c(-87.6271441, 41.8793287)",1ST,FALSE,07/10/2019,-87.6271441,41.87932869999999
CATHOLIC CHARITIES-Cook County-Suburbs,"12731 S. Wood St Blue Island, IL. 60406",708-333-8379,Christopher Torres,cltorres@catholiccharities.net,60406,TRUE,"c(-87.6649463, 41.6619655)",NA,FALSE,07/10/2019,-87.6649463,41.6619655
ALEXIAN BROTHERS BEHAVIORAL HEALTH HOSPITAL,"1650 Moon Lake Blvd, Hoffman Estates, IL 60169",847-755-3245,Diamond Sutton,diamond.sutton@amitahealth.org,60169,TRUE,"c(-88.1372978, 42.0540731)",NA,FALSE,07/10/2019,-88.1372978,42.0540731
PRECIOUS BLOOD MINISTRIES,"5114 S Elizabeth St, Chicago, IL 60609",773-952-6643,"Fr. David Kelly C.PP.S., Exe Dir",dkelly@pbmr.org,60609,TRUE,"c(-87.6564929, 41.8006295)",9TH,FALSE,07/10/2019,-87.65649289999999,41.8006295
ALLEN'S FAMILY COUNSELING CENTER  (AFCC),"226 W Ontario St ste 400 c, Chicago, IL 60654",312-912-7008,Doug Allen,Douglas@afccchicago.com,60654,TRUE,"c(-87.6353644, 41.8934454)",18TH,FALSE,07/10/2019,-87.6353644,41.8934454
PRESENCE BEHAVORIAL HEALTH,"134 N LaSalle St, Chicago, IL 60602",847-493-3722,Emily Smith,emily.smith@amitahealth.org,60602,TRUE,"c(-87.6331816, 41.8841199)",1ST,FALSE,07/10/2019,-87.6331816,41.8841199
CATHOLIC CHARITIES-Cook County-Suburbs,"1400 S. Austin Cicero, IL 60804",708-222-1491,Esmeralda Zepeda,ezepeda@catholiccharities.net,60804,TRUE,"c(-87.77445, 41.8615941)",NA,FALSE,07/10/2019,-87.77445,41.8615941
Feed Clothe and Help the Needy,"1234 W 59th St, Chicago, IL 60636",773-436-8277,James Parker Price,fchnprogram@gmail.com,60636,TRUE,"c(-87.6561285, 41.7871198)",7TH,FALSE,07/10/2019,-87.6561285,41.7871198
"Life Builders United, Inc.","6855 S Emerald Ave, Chicago, IL 60621",773-504-2125,Geraldine Maby-Smith,gsmithlive@yahoo.com,60621,TRUE,"c(-87.642765, 41.7691)",7TH,FALSE,07/10/2019,-87.642765,41.76909999999999
METROPOLITAN FAMILY SERVICES,"5210 Main Str. Skokie, Illinois 60077",847-425-7500,Hansen Helly,hansenh@metrofamily.org,60077,TRUE,"c(-87.7575356, 42.0338131)",NA,FALSE,07/10/2019,-87.7575356,42.0338131
